image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.03,512,512,noise,15,64,16,4,3.9960975609756098,1.4177962371729422,1.5455965182343623,786572,634590,691792,447589,265.3677673339844,23.89232190339151,0.7355987473024257,20683178.0,0.22750723361968994
4.2.03,512,512,noise,20,4,16,4,11.997803136632697,8.921175825566193,10.039629988894044,786572,634590,714149,71133,829.212890625,18.944143160184566,0.5829800001653785,148052112.0,0.35170215368270874
4.2.03,512,512,noise,20,8,16,4,7.998047351720771,4.91873038018835,5.535395109095842,786572,634590,714149,129015,553.6627807617188,20.698350312391252,0.6313914781706725,90074240.0,0.28545910120010376
4.2.03,512,512,noise,20,16,16,4,5.997803538743136,3.0102604727502147,3.3876589709168017,786572,634590,714149,210809,463.638916015625,21.469004790864428,0.6563964378490076,58752404.0,0.2521032691001892
4.2.03,512,512,noise,20,32,16,4,4.797189146984189,1.8857030788019982,2.1221150160314033,786572,634590,714149,336527,435.9427795410156,21.736508719672557,0.649818347522182,38952776.0,0.2268245816230774
4.2.03,512,512,noise,20,64,16,4,3.9960975609756098,1.303461024956352,1.4668768614563008,786572,634590,714149,486850,420.4107971191406,21.894064996842822,0.6519942347470492,25364358.0,0.23207631707191467
4.2.03,512,512,noise,30,4,16,4,11.997803136632697,7.578913425135254,8.92849721130764,786572,634590,747592,83731,1011.4480590820312,18.08136775524063,0.5288884360675095,192908368.0,0.310227632522583
4.2.03,512,512,noise,30,8,16,4,7.998047351720771,4.3068893669872335,5.073820948399313,786572,634590,747592,147343,824.5126953125,18.96883013850723,0.5381942691894093,124949232.0,0.259250283241272
4.2.03,512,512,noise,30,16,16,4,5.997803538743136,2.511775369489325,2.9590494209288885,786572,634590,747592,252646,851.5708618164062,18.828595680932235,0.5164059255444995,82421328.0,0.23956799507141113
4.2.03,512,512,noise,30,32,16,4,4.797189146984189,1.601258620211099,1.8863961524777508,786572,634590,747592,396307,860.44189453125,18.783588130334778,0.5111495935135989,53864292.0,0.2301691472530365
4.2.03,512,512,noise,30,64,16,4,3.9960975609756098,1.1201744011579673,1.319644842986002,786572,634590,747592,566510,863.640869140625,18.767471750724575,0.5117715123139461,34658516.0,0.22718340158462524
4.2.05,512,512,clean,0,4,16,4,11.997803136632697,14.257623487903226,,786572,452594,,31744,206.2223358154297,24.987446592024057,0.8122431842452554,30715328.0,0.557245135307312
4.2.05,512,512,clean,0,8,16,4,7.998047351720771,7.334802690219593,,786572,452594,,61705,87.83341217041016,28.694206062269533,0.8632328690880401,12923372.0,0.4585648477077484
4.2.05,512,512,clean,0,16,16,4,5.997803538743136,4.921800406711832,,786572,452594,,91957,40.47951889038086,32.05845018708462,0.9045943636370867,6026778.0,0.42227500677108765
4.2.05,512,512,clean,0,32,16,4,4.797189146984189,2.9226010590210514,,786572,452594,,154860,20.714658737182617,34.96802577941746,0.9405991400576763,3047212.5,0.3175655007362366
